File STDIN:
      1_ ||  2802.00  2814.00  |  5952.00  5952.00  | 30606.00 30606.00  | //: 32-bit, MSC_v9.00 [ C =...]
  10000_ ||    42.42    42.42  |    46.30    46.31  |    53.29    53.31  | //: 32-bit, MSC_v9.00 [ C =332]
 100000_ ||    42.21    42.50  |    43.60    45.77  |    49.55    50.03  | //: 32-bit, MSC_v9.00 [ C =332]
    API  ||          864 bytes |          704 bytes |          720 bytes | //: 32-bit, MSC_v9.00 [ C =332]
  Block  ||         4560 bytes |         9232 bytes |        12560 bytes | //: 32-bit, MSC_v9.00 [ C =332]
      1_ ||   780.00   798.00  |  1920.00  1920.00  |  3732.00  3732.00  | //: 64-bit, MSC_v9.00 [ C =332]
     10_ ||    76.80    76.80  |   189.00   191.40  |   402.60   402.60  | //: 64-bit, MSC_v9.00 [ C =332]
    100_ ||    17.10    17.16  |    27.66    27.90  |    37.62    37.62  | //: 64-bit, MSC_v9.00 [ C =332]
   1000_ ||     9.98    10.12  |    14.23    14.25  |    16.13    16.13  | //: 64-bit, MSC_v9.00 [ C =332]
  10000_ ||     9.27     9.28  |    12.89    12.99  |    13.98    13.98  | //: 64-bit, MSC_v9.00 [ C =332]
 100000_ ||     9.32     9.56  |    13.12    13.19  |    14.15    14.23  | //: 64-bit, MSC_v9.00 [ C =332]
    API  ||          992 bytes |         1312 bytes |          864 bytes | //: 64-bit, MSC_v9.00 [ C =332]
  Block  ||         1200 bytes |         2928 bytes |         5008 bytes | //: 64-bit, MSC_v9.00 [ C =332]
      1_ ||  2598.00  2604.00  |  4866.00  4878.00  | 10614.00 10632.00  | //: 32-bit, MSC_v9.00 [asm=332]
     10_ ||   260.40   261.00  |   490.20   490.20  |  1067.40  1067.40  | //: 32-bit, MSC_v9.00 [asm=332]
    100_ ||    60.78    60.78  |    72.00    72.00  |   106.86   106.92  | //: 32-bit, MSC_v9.00 [asm=332]
   1000_ ||    38.38    38.42  |    39.17    39.19  |    46.49    46.61  | //: 32-bit, MSC_v9.00 [asm=332]
  10000_ ||    40.98    47.69  |    35.81    35.86  |    40.96    43.93  | //: 32-bit, MSC_v9.00 [asm=332]
 100000_ ||    34.46    36.34  |    34.07    37.16  |    39.60    43.18  | //: 32-bit, MSC_v9.00 [asm=332]
    API  ||          864 bytes |          704 bytes |          720 bytes | //: 32-bit, MSC_v9.00 [asm=332]
  Block  ||         3060 bytes |         6300 bytes |         8835 bytes | //: 32-bit, MSC_v9.00 [asm=332]
      1_ ||   684.00   690.00  |  1104.00  1104.00  |  2028.00  2034.00  | //: 64-bit, MSC_v9.00 [asm=332]
     10_ ||    70.80    70.80  |   120.00   120.00  |   219.00   219.00  | //: 64-bit, MSC_v9.00 [asm=332]
    100_ ||    15.72    15.72  |    16.74    16.74  |    22.20    22.20  | //: 64-bit, MSC_v9.00 [asm=332]
   1000_ ||     8.42     8.42  |     7.22     7.22  |     8.30     8.30  | //: 64-bit, MSC_v9.00 [asm=332]
  10000_ ||     7.85     8.51  |     6.58     6.58  |     7.11     7.12  | //: 64-bit, MSC_v9.00 [asm=332]
 100000_ ||     7.80     9.43  |     6.90     7.71  |     7.18     8.48  | //: 64-bit, MSC_v9.00 [asm=332]
    API  ||          992 bytes |         1312 bytes |          864 bytes | //: 64-bit, MSC_v9.00 [asm=332]
  Block  ||         1288 bytes |         2182 bytes |         3449 bytes | //: 64-bit, MSC_v9.00 [asm=332]
      1_ ||  2994.00  2994.00  |  6240.00  6240.00  | 14598.00 14604.00  | //: 32-bit, MSC_v9.00 [ C =335]
     10_ ||   300.60   301.20  |   624.00   624.60  |  1459.20  1461.00  | //: 32-bit, MSC_v9.00 [ C =335]
    100_ ||    70.62    70.68  |    91.86    91.92  |   146.10   146.16  | //: 32-bit, MSC_v9.00 [ C =335]
   1000_ ||    44.65    44.65  |    50.20    50.20  |    62.74    62.76  | //: 32-bit, MSC_v9.00 [ C =335]
  10000_ ||    42.16    42.42  |    46.31    46.73  |    55.11    55.13  | //: 32-bit, MSC_v9.00 [ C =335]
 100000_ ||    40.09    40.55  |    45.76    45.97  |    51.00    53.08  | //: 32-bit, MSC_v9.00 [ C =335]
    API  ||          864 bytes |          704 bytes |          720 bytes | //: 32-bit, MSC_v9.00 [ C =335]
  Block  ||         4560 bytes |         9232 bytes |        29280 bytes | //: 32-bit, MSC_v9.00 [ C =335]
      1_ ||   780.00   798.00  |  1890.00  1920.00  |  3498.00  3498.00  | //: 64-bit, MSC_v9.00 [ C =335]
     10_ ||    77.40    78.00  |   190.80   195.00  |   350.40   379.20  | //: 64-bit, MSC_v9.00 [ C =335]
    100_ ||    17.10    17.10  |    27.72    28.08  |    35.28    35.28  | //: 64-bit, MSC_v9.00 [ C =335]
   1000_ ||     9.95    10.00  |    14.23    14.24  |    15.09    15.10  | //: 64-bit, MSC_v9.00 [ C =335]
  10000_ ||     9.30    10.06  |    12.94    14.10  |    13.07    14.36  | //: 64-bit, MSC_v9.00 [ C =335]
 100000_ ||     9.33     9.58  |    13.94    13.95  |    13.24    13.92  | //: 64-bit, MSC_v9.00 [ C =335]
    API  ||          992 bytes |         1312 bytes |          864 bytes | //: 64-bit, MSC_v9.00 [ C =335]
  Block  ||         1200 bytes |         2928 bytes |        10880 bytes | //: 64-bit, MSC_v9.00 [ C =335]
      1_ ||  2586.00  2592.00  |  4896.00  4902.00  | 10668.00 10668.00  | //: 32-bit, MSC_v9.00 [asm=335]
     10_ ||   263.40   263.40  |   489.60   489.60  |  1069.20  1069.80  | //: 32-bit, MSC_v9.00 [asm=335]
    100_ ||    61.08    61.14  |    72.30    72.36  |   107.04   107.10  | //: 32-bit, MSC_v9.00 [asm=335]
   1000_ ||    35.57    35.57  |    36.11    36.12  |    43.07    43.12  | //: 32-bit, MSC_v9.00 [asm=335]
  10000_ ||    33.68    34.51  |    33.29    36.32  |    37.91    39.80  | //: 32-bit, MSC_v9.00 [asm=335]
 100000_ ||    36.32    36.43  |    35.91    35.98  |    38.02    38.19  | //: 32-bit, MSC_v9.00 [asm=335]
    API  ||          864 bytes |          704 bytes |          720 bytes | //: 32-bit, MSC_v9.00 [asm=335]
  Block  ||         3060 bytes |         6300 bytes |        20391 bytes | //: 32-bit, MSC_v9.00 [asm=335]
      1_ ||   684.00   690.00  |  1104.00  1104.00  |  2022.00  2022.00  | //: 64-bit, MSC_v9.00 [asm=335]
     10_ ||    65.40    65.40  |   109.80   109.80  |   201.60   202.20  | //: 64-bit, MSC_v9.00 [asm=335]
    100_ ||    15.78    15.78  |    16.80    16.80  |    22.02    22.08  | //: 64-bit, MSC_v9.00 [asm=335]
   1000_ ||     8.41     8.42  |     7.21     7.22  |     8.24     8.26  | //: 64-bit, MSC_v9.00 [asm=335]
  10000_ ||     7.84     7.84  |     6.45     6.50  |     7.12     7.12  | //: 64-bit, MSC_v9.00 [asm=335]
 100000_ ||     8.11     8.11  |     6.49     6.74  |     6.95     7.26  | //: 64-bit, MSC_v9.00 [asm=335]
    API  ||          992 bytes |         1312 bytes |          864 bytes | //: 64-bit, MSC_v9.00 [asm=335]
  Block  ||         1288 bytes |         2182 bytes |         7133 bytes | //: 64-bit, MSC_v9.00 [asm=335]
