The following are examples of j_syscalls.d.

This is a simple script to count executed Java methods and system calls.
Here it traces an example program, Code/Java/Func_abc.

# j_syscalls.d -c 'java -XX:+ExtendedDTraceProbes Func_abc'
Tracing... Hit Ctrl-C to end.
Function A
Function B
Function C
    PID TYPE     NAME                                                    COUNT
 311536 method   java/lang/StringBuilder.toString                           73
 311536 method   java/lang/AbstractStringBuilder.expandCapacity             81
 311536 method   java/util/HashMap.hash                                     81
 311536 method   java/util/HashMap.indexFor                                 81
 311536 method   java/lang/AbstractStringBuilder.<init>                     82
 311536 method   java/lang/Character.toLowerCase                            82
 311536 method   java/lang/String.startsWith                                83
 311536 method   java/util/Arrays.copyOf                                    87
 311536 method   java/lang/String.lastIndexOf                               90
 311536 method   java/lang/String.substring                                 94
 311536 syscall  brk                                                       102
 311536 syscall  ioctl                                                     103
 311536 method   java/util/Arrays.copyOfRange                              107
 311536 syscall  mmap                                                      127
 311536 syscall  open                                                      129
 311536 syscall  close                                                     133
 311536 method   java/lang/String.getChars                                 156
 311536 method   java/lang/System.getSecurityManager                       174
 311536 method   java/lang/String.<init>                                   175
 311536 syscall  xstat                                                     188
 311536 method   java/lang/String.equals                                   202
 311536 method   java/lang/Math.min                                        208
 311536 method   java/lang/String.hashCode                                 213
 311536 syscall  lwp_exit                                                  291
 311536 method   java/lang/String.indexOf                                  302
 311536 method   java/lang/System.arraycopy                                360
 311536 method   java/lang/StringBuilder.append                            545
 311536 method   java/lang/AbstractStringBuilder.append                    561
 311536 syscall  llseek                                                    664
 311536 syscall  read                                                      668
 311536 method   java/lang/Object.<init>                                   823
 311536 method   java/lang/String.charAt                                  1987

While tracing there were numerous system calls made, including 668 reads()'s,
and 664 llseek()'s.  Many Java methods were also called, with 1987
java/lang/String.charAt being the most of a particular kind.

This script can provide an insight to how an application is interacting
with the system, by providing both application method calls and
system calls in the same output.


