The following are examples of running tcl_insflow.d
  0 174829 4436207515404            5  inst     -> push1
  0 174829 4436207515410            5  inst     <- push1
  0 174829 4436207515415            5  inst     -> push1
  0 174829 4436207515421            5  inst     <- push1
  0 174829 4436207515427            5  inst     -> invokeStk1
  0 174829 4436207515433            6   cmd       -> global
  0 174829 4436207515440            7   cmd       <- global
  0 174829 4436207515446            6  inst     <- invokeStk1
  0 174829 4436207515452            5  inst     -> pop
  0 174829 4436207515458            5  inst     <- pop
  0 174829 4436207515463            5  inst     -> push1
  0 174829 4436207515469            5  inst     <- push1
  0 174829 4436207515475            5  inst     -> push1
  0 174829 4436207515480            5  inst     <- push1
  0 174829 4436207515486            5  inst     -> push1
  0 174829 4436207515492            5  inst     <- push1
  0 174829 4436207515497            5  inst     -> invokeStk1
  0 174829 4436207515504            6   cmd       -> rename
  0 174829 4436207515553           49   cmd       <- rename
  0 174829 4436207515560            6  inst     <- invokeStk1
  0 174829 4436207515566            6  inst     -> pop
  0 174829 4436207515571            5  inst     <- pop
  0 174829 4436207515577            5  inst     -> push1
  0 174829 4436207515583            5  inst     <- push1
  0 174829 4436207515589            5  inst     -> storeScalar1
  0 174829 4436207515598            9  inst     <- storeScalar1
  0 174829 4436207515605            6  inst     -> push1
  0 174829 4436207515610            5  inst     <- push1
  0 174829 4436207515616            5  inst     -> storeScalar1
  0 174829 4436207515622            5  inst     <- storeScalar1
  0 174829 4436207515628            5  inst     -> push1
  0 174829 4436207515633            5  inst     <- push1
  0 174829 4436207515639            5  inst     -> push1
  0 174829 4436207515645            5  inst     <- push1
  0 174829 4436207515650            5  inst     -> push1
  0 174829 4436207515656            5  inst     <- push1
  0 174829 4436207515662            5  inst     -> invokeStk1
  0 174829 4436207515668            6   cmd       -> info
  0 174829 4436207515679           10   cmd       <- info
  0 174829 4436207515685            6  inst     <- invokeStk1
  0 174829 4436207515691            5  inst     -> tryCvtToNumeric
  0 174829 4436207515701           10  inst     <- tryCvtToNumeric
  0 174829 4436207515708            6  inst     -> jumpFalse1
  0 174829 4436207515714            5  inst     <- jumpFalse1
  0 174829 4436207515719            5  inst     -> push1
  0 174829 4436207515725            5  inst     <- push1
  0 174829 4436207515731            5  inst     -> push1
  0 174829 4436207515736            5  inst     <- push1
  0 174829 4436207515742            5  inst     -> push1
  0 174829 4436207515747            5  inst     <- push1
  0 174829 4436207515753            5  inst     -> invokeStk1
  0 174829 4436207515760            6   cmd       -> info
  0 174829 4436207515787           27   cmd       <- info
  0 174829 4436207515793            6  inst     <- invokeStk1
  0 174829 4436207515799            5  inst     -> tryCvtToNumeric
  0 174829 4436207515805            5  inst     <- tryCvtToNumeric
  0 174829 4436207515811            5  inst     -> jumpFalse1
  0 174829 4436207515817            5  inst     <- jumpFalse1
  0 174829 4436207515823            5  inst     -> push1
  0 174829 4436207515828            5  inst     <- push1
  0 174829 4436207515834            5  inst     -> pop
  0 174829 4436207515839            5  inst     <- pop
  0 174829 4436207515845            5  inst     -> beginCatch4
  0 174829 4436207515851            5  inst     <- beginCatch4
  0 174829 4436207515857            5  inst     -> loadScalar1
  0 174829 4436207515863            5  inst     <- loadScalar1
  0 174829 4436207515868            5  inst     -> lappendScalar1
  0 174829 4436207515877            8  inst     <- lappendScalar1
  0 174829 4436207515883            6  inst     -> push1
  0 174829 4436207515889            5  inst     <- push1
  0 174829 4436207515895            5  inst     -> push1
  0 174829 4436207515900            5  inst     <- push1
  0 174829 4436207515906            5  inst     -> invokeStk1
  0 174829 4436207515912            6   cmd       -> unset
  0 174829 4436207515920            7   cmd       <- unset
  0 174829 4436207515926            6  inst     <- invokeStk1
  0 174829 4436207515932            5  inst     -> pop
  0 174829 4436207515938            5  inst     <- pop
  0 174829 4436207515943            5  inst     -> push1
  0 174829 4436207515949            5  inst     <- push1
  0 174829 4436207515955            5  inst     -> jump1
  0 174829 4436207515960            5  inst     <- jump1
  0 174829 4436207515966            5  inst     -> endCatch
  0 174829 4436207515972            5  inst     <- endCatch
  0 174829 4436207515977            5  inst     -> pop
  0 174829 4436207515983            5  inst     <- pop
  0 174829 4436207515989            5  inst     -> push1
  0 174829 4436207515994            5  inst     <- push1
  0 174829 4436207516000            5  inst     -> loadScalar1
  0 174829 4436207516006            5  inst     <- loadScalar1
  0 174829 4436207516012            5  inst     -> loadScalar1
  0 174829 4436207516017            5  inst     <- loadScalar1
  0 174829 4436207516023            5  inst     -> invokeStk1
  0 174829 4436207516029            6   cmd       -> concat
  0 174829 4436207516049           19   cmd       <- concat
  0 174829 4436207516055            6  inst     <- invokeStk1
  0 174829 4436207516061            5  inst     -> storeScalar1
  0 174829 4436207516068            6  inst     <- storeScalar1
  0 174829 4436207516074            6  inst     -> loadScalar1
  0 174829 4436207516080            5  inst     <- loadScalar1
  0 174829 4436207516085            5  inst     -> storeScalar1
  0 174829 4436207516091            5  inst     <- storeScalar1
  0 174829 4436207516097            5  inst     -> foreach_start4
  0 174829 4436207516104            6  inst     <- foreach_start4
  0 174829 4436207516110            6  inst     -> foreach_step4
  0 174829 4436207516125           14  inst     <- foreach_step4
  0 174829 4436207516131            5  inst     -> loadScalar1
  0 174829 4436207516137            5  inst     <- loadScalar1
  0 174829 4436207516143            5  inst     -> storeScalar1
  0 174829 4436207516148            5  inst     <- storeScalar1
  0 174829 4436207516154            5  inst     -> push1
  0 174829 4436207516160            5  inst     <- push1
  0 174829 4436207516165            5  inst     -> push1
  0 174829 4436207516171            5  inst     <- push1
  0 174829 4436207516177            5  inst     -> loadScalar1
  0 174829 4436207516182            5  inst     <- loadScalar1
  0 174829 4436207516188            5  inst     -> push1
  0 174829 4436207516194            5  inst     <- push1
  0 174829 4436207516200            5  inst     -> invokeStk1
  0 174829 4436207516206            6   cmd       -> file
  0 174829 4436207516218           12   cmd       <- file
  0 174829 4436207516224            6  inst     <- invokeStk1
  0 174829 4436207516230            5  inst     -> storeScalar1
  0 174829 4436207516236            5  inst     <- storeScalar1
  0 174829 4436207516242            5  inst     -> push1
  0 174829 4436207516247            5  inst     <- push1
  0 174829 4436207516253            5  inst     -> push1
  0 174829 4436207516258            5  inst     <- push1
  0 174829 4436207516264            5  inst     -> loadScalar1
  0 174829 4436207516270            5  inst     <- loadScalar1
  0 174829 4436207516276            5  inst     -> invokeStk1
  0 174829 4436207516282            6   cmd       -> file
  0 174829 4436207516368           86   cmd       <- file
  0 174829 4436207516375            6  inst     <- invokeStk1
  0 174829 4436207516381            6  inst     -> tryCvtToNumeric
  0 174829 4436207516387            5  inst     <- tryCvtToNumeric
  0 174829 4436207516393            5  inst     -> jumpFalse1
  0 174829 4436207516398            5  inst     <- jumpFalse1
  0 174829 4436207516404            5  inst     -> push1
  0 174829 4436207516410            5  inst     <- push1
  0 174829 4436207516416            5  inst     -> pop
  0 174829 4436207516421            5  inst     <- pop
  0 174829 4436207516427            5  inst     -> jump1
  0 174829 4436207516432            5  inst     <- jump1
  0 174829 4436207516438            5  inst     -> foreach_step4
  0 174829 4436207516444            5  inst     <- foreach_step4
  0 174829 4436207516450            5  inst     -> loadScalar1
  0 174829 4436207516456            5  inst     <- loadScalar1
  0 174829 4436207516462            6  inst     -> storeScalar1
  0 174829 4436207516468            5  inst     <- storeScalar1
  0 174829 4436207516473            5  inst     -> push1
  0 174829 4436207516479            5  inst     <- push1
  0 174829 4436207516485            5  inst     -> push1
  0 174829 4436207516490            5  inst     <- push1
  0 174829 4436207516496            5  inst     -> loadScalar1
  0 174829 4436207516502            5  inst     <- loadScalar1
  0 174829 4436207516508            5  inst     -> push1
  0 174829 4436207516513            5  inst     <- push1
  0 174829 4436207516519            5  inst     -> invokeStk1
  0 174829 4436207516525            6   cmd       -> file
  0 174829 4436207516536           10   cmd       <- file
  0 174829 4436207516542            6  inst     <- invokeStk1
  0 174829 4436207516548            5  inst     -> storeScalar1
  0 174829 4436207516555            6  inst     <- storeScalar1
  0 174829 4436207516561            6  inst     -> push1
  0 174829 4436207516566            5  inst     <- push1
  0 174829 4436207516572            5  inst     -> push1
  0 174829 4436207516578            5  inst     <- push1
  0 174829 4436207516583            5  inst     -> loadScalar1
  0 174829 4436207516589            5  inst     <- loadScalar1
  0 174829 4436207516595            5  inst     -> invokeStk1
  0 174829 4436207516601            6   cmd       -> file
  0 174829 4436207516709          107   cmd       <- file
  0 174829 4436207516716            6  inst     <- invokeStk1
  0 174829 4436207516722            6  inst     -> tryCvtToNumeric
  0 174829 4436207516728            5  inst     <- tryCvtToNumeric
  0 174829 4436207516733            5  inst     -> jumpFalse1
  0 174829 4436207516739            5  inst     <- jumpFalse1
  0 174829 4436207516745            5  inst     -> push1
  0 174829 4436207516751            5  inst     <- push1
  0 174829 4436207516756            5  inst     -> pop
  0 174829 4436207516762            5  inst     <- pop
  0 174829 4436207516768            5  inst     -> jump1
  0 174829 4436207516773            5  inst     <- jump1
  0 174829 4436207516779            5  inst     -> foreach_step4
  0 174829 4436207516785            5  inst     <- foreach_step4
  0 174829 4436207516791            5  inst     -> loadScalar1
  0 174829 4436207516796            5  inst     <- loadScalar1
  0 174829 4436207516802            5  inst     -> storeScalar1
  0 174829 4436207516808            5  inst     <- storeScalar1
  0 174829 4436207516814            5  inst     -> push1
  0 174829 4436207516820            5  inst     <- push1
  0 174829 4436207516825            5  inst     -> push1
  0 174829 4436207516831            5  inst     <- push1
  0 174829 4436207516837            5  inst     -> loadScalar1
  0 174829 4436207516842            5  inst     <- loadScalar1
  0 174829 4436207516848            5  inst     -> push1
  0 174829 4436207516854            5  inst     <- push1
  0 174829 4436207516859            5  inst     -> invokeStk1
  0 174829 4436207516866            6   cmd       -> file
  0 174829 4436207516876           10   cmd       <- file
  0 174829 4436207516882            6  inst     <- invokeStk1
  0 174829 4436207516888            5  inst     -> storeScalar1
  0 174829 4436207516895            6  inst     <- storeScalar1
  0 174829 4436207516901            6  inst     -> push1
  0 174829 4436207516906            5  inst     <- push1
  0 174829 4436207516912            5  inst     -> push1
  0 174829 4436207516918            5  inst     <- push1
  0 174829 4436207516923            5  inst     -> loadScalar1
  0 174829 4436207516929            5  inst     <- loadScalar1
  0 174829 4436207516935            5  inst     -> invokeStk1
  0 174829 4436207516941            6   cmd       -> file
  0 174829 4436207517027           86   cmd       <- file
  0 174829 4436207517034            6  inst     <- invokeStk1
  0 174829 4436207517040            6  inst     -> tryCvtToNumeric
  0 174829 4436207517046            5  inst     <- tryCvtToNumeric
  0 174829 4436207517052            5  inst     -> jumpFalse1
  0 174829 4436207517057            5  inst     <- jumpFalse1
  0 174829 4436207517063            5  inst     -> push1
  0 174829 4436207517069            5  inst     <- push1
  0 174829 4436207517075            5  inst     -> pop
  0 174829 4436207517080            5  inst     <- pop
  0 174829 4436207517086            5  inst     -> jump1
  0 174829 4436207517091            5  inst     <- jump1
  0 174829 4436207517097            5  inst     -> foreach_step4
  0 174829 4436207517103            5  inst     <- foreach_step4
  0 174829 4436207517109            5  inst     -> loadScalar1
  0 174829 4436207517115            5  inst     <- loadScalar1
  0 174829 4436207517121            5  inst     -> storeScalar1
  0 174829 4436207517127            5  inst     <- storeScalar1
  0 174829 4436207517132            5  inst     -> push1
  0 174829 4436207517138            5  inst     <- push1
  0 174829 4436207517144            5  inst     -> push1
  0 174829 4436207517149            5  inst     <- push1
  0 174829 4436207517155            5  inst     -> loadScalar1
  0 174829 4436207517161            5  inst     <- loadScalar1
  0 174829 4436207517167            5  inst     -> push1
  0 174829 4436207517172            5  inst     <- push1
  0 174829 4436207517178            5  inst     -> invokeStk1
  0 174829 4436207517184            6   cmd       -> file
  0 174829 4436207517194           10   cmd       <- file
  0 174829 4436207517201            6  inst     <- invokeStk1
  0 174829 4436207517206            5  inst     -> storeScalar1
  0 174829 4436207517213            6  inst     <- storeScalar1
  0 174829 4436207517219            5  inst     -> push1
  0 174829 4436207517225            5  inst     <- push1
  0 174829 4436207517231            5  inst     -> push1
  0 174829 4436207517236            5  inst     <- push1
  0 174829 4436207517242            5  inst     -> loadScalar1
  0 174829 4436207517247            5  inst     <- loadScalar1
  0 174829 4436207517253            5  inst     -> invokeStk1
  0 174829 4436207517260            6   cmd       -> file
  0 174829 4436207517313           53   cmd       <- file
  0 174829 4436207517319            6  inst     <- invokeStk1
  0 174829 4436207517325            5  inst     -> tryCvtToNumeric
  0 174829 4436207517331            6  inst     <- tryCvtToNumeric
  0 174829 4436207517337            5  inst     -> jumpFalse1
  0 174829 4436207517343            5  inst     <- jumpFalse1
  0 174829 4436207517348            5  inst     -> beginCatch4
  0 174829 4436207517354            5  inst     <- beginCatch4
  0 174829 4436207517360            6  inst     -> push1
  0 174829 4436207517366            5  inst     <- push1
  0 174829 4436207517371            5  inst     -> push1
  0 174829 4436207517377            5  inst     <- push1
  0 174829 4436207517383            5  inst     -> push1
  0 174829 4436207517388            5  inst     <- push1
  0 174829 4436207517394            5  inst     -> loadScalar1
  0 174829 4436207517400            5  inst     <- loadScalar1
  0 174829 4436207517405            5  inst     -> list
  0 174829 4436207517412            6  inst     <- list
  0 174829 4436207517418            5  inst     -> invokeStk1
  0 174829 4436207517424            6   cmd       -> uplevel
  0 174829 4436207517436           11   cmd         -> source
  0 174829 4436207517878          441   cmd           -> if
  0 174829 4436207517897           18  inst             -> push1
  0 174829 4436207517903            6  inst             <- push1
  0 174829 4436207517910            6  inst             -> push1
  0 174829 4436207517915            5  inst             <- push1
  0 174829 4436207517921            5  inst             -> push1
  0 174829 4436207517927            5  inst             <- push1
  0 174829 4436207517932            5  inst             -> invokeStk1
  0 174829 4436207517939            6   cmd               -> info
  0 174829 4436207517947            8   cmd               <- info
  0 174829 4436207517954            6  inst             <- invokeStk1
  0 174829 4436207517960            5  inst             -> push1
  0 174829 4436207517965            5  inst             <- push1
  0 174829 4436207517971            5  inst             -> eq
  0 174829 4436207517979            7  inst             <- eq
  0 174829 4436207517985            5  inst             -> done
  0 174829 4436207517991            5  inst             <- done
  0 174829 4436207517997            6   cmd           <- if
  0 174829 4436207518010           12   cmd           -> package
  0 174829 4436207518021           10   cmd           <- package
  0 174829 4436207518034           13   cmd           -> if
  0 174829 4436207518046           11  inst             -> push1
  0 174829 4436207518051            5  inst             <- push1
  0 174829 4436207518057            5  inst             -> push1
  0 174829 4436207518063            5  inst             <- push1
  0 174829 4436207518068            5  inst             -> push1
  0 174829 4436207518074            5  inst             <- push1
  0 174829 4436207518080            5  inst             -> invokeStk1
  0 174829 4436207518086            6   cmd               -> info
  0 174829 4436207518094            7   cmd               <- info
  0 174829 4436207518099            5  inst             <- invokeStk1
  0 174829 4436207518105            5  inst             -> not
  0 174829 4436207518111            6  inst             <- not
  0 174829 4436207518117            5  inst             -> done
  0 174829 4436207518123            5  inst             <- done
  0 174829 4436207518147           24  inst             -> push1
  0 174829 4436207518153            5  inst             <- push1
  0 174829 4436207518159            5  inst             -> push1
  0 174829 4436207518164            5  inst             <- push1
  0 174829 4436207518170            5  inst             -> push1
  0 174829 4436207518175            5  inst             <- push1
  0 174829 4436207518181            5  inst             -> invokeStk1
  0 174829 4436207518187            6   cmd               -> info
  0 174829 4436207518212           25   cmd               <- info
  0 174829 4436207518218            6  inst             <- invokeStk1
  0 174829 4436207518224            5  inst             -> tryCvtToNumeric
  0 174829 4436207518230            5  inst             <- tryCvtToNumeric
  0 174829 4436207518236            5  inst             -> jumpFalse1
  0 174829 4436207518242            5  inst             <- jumpFalse1
  0 174829 4436207518248            5  inst             -> push1
  0 174829 4436207518253            5  inst             <- push1
  0 174829 4436207518259            5  inst             -> push1
  0 174829 4436207518264            5  inst             <- push1
  0 174829 4436207518270            5  inst             -> storeScalarStk
  0 174829 4436207518278            7  inst             <- storeScalarStk
  0 174829 4436207518284            5  inst             -> done
  0 174829 4436207518289            5  inst             <- done
  0 174829 4436207518295            6   cmd           <- if
  0 174829 4436207518315           19   cmd           -> namespace
  0 174829 4436207518421          106  inst             -> push1
  0 174829 4436207518428            6  inst             <- push1
  0 174829 4436207518434            5  inst             -> push1
  0 174829 4436207518440            5  inst             <- push1
  0 174829 4436207518445            5  inst             -> invokeStk1
  0 174829 4436207518452            6   cmd               -> variable
  0 174829 4436207518460            8   cmd               <- variable
  0 174829 4436207518466            6  inst             <- invokeStk1
  0 174829 4436207518472            5  inst             -> pop
  0 174829 4436207518477            5  inst             <- pop
  0 174829 4436207518483            5  inst             -> push1
  0 174829 4436207518489            5  inst             <- push1
  0 174829 4436207518494            5  inst             -> push1
  0 174829 4436207518500            5  inst             <- push1
  0 174829 4436207518506            5  inst             -> invokeStk1
  0 174829 4436207518513            7   cmd               -> info
  0 174829 4436207518526           13   cmd               <- info
  0 174829 4436207518532            6  inst             <- invokeStk1
  0 174829 4436207518538            5  inst             -> push1
  0 174829 4436207518544            5  inst             <- push1
  0 174829 4436207518549            5  inst             -> strneq
  0 174829 4436207518555            6  inst             <- strneq
  0 174829 4436207518561            5  inst             -> push1
  0 174829 4436207518567            5  inst             <- push1
  0 174829 4436207518573            5  inst             -> push1
  0 174829 4436207518578            5  inst             <- push1
  0 174829 4436207518584            5  inst             -> push1
  0 174829 4436207518589            5  inst             <- push1
  0 174829 4436207518595            5  inst             -> push1
  0 174829 4436207518600            5  inst             <- push1
  0 174829 4436207518606            5  inst             -> push1
  0 174829 4436207518612            5  inst             <- push1
  0 174829 4436207518617            5  inst             -> invokeStk1
  0 174829 4436207518624            6   cmd               -> info
  0 174829 4436207518631            7   cmd               <- info
  0 174829 4436207518637            6  inst             <- invokeStk1
  0 174829 4436207518643            5  inst             -> push1
  0 174829 4436207518648            5  inst             <- push1
  0 174829 4436207518654            5  inst             -> push1
  0 174829 4436207518660            5  inst             <- push1
  0 174829 4436207518665            5  inst             -> push1
  0 174829 4436207518671            5  inst             <- push1
  0 174829 4436207518677            5  inst             -> push1
  0 174829 4436207518682            5  inst             <- push1
  0 174829 4436207518688            5  inst             -> invokeStk1
  0 174829 4436207518694            6   cmd               -> info
  0 174829 4436207518701            7   cmd               <- info
  0 174829 4436207518707            6  inst             <- invokeStk1
  0 174829 4436207518713            5  inst             -> invokeStk1
  0 174829 4436207518720            7   cmd               -> file
  0 174829 4436207518741           20   cmd               <- file
  0 174829 4436207518748            6  inst             <- invokeStk1
  0 174829 4436207518753            5  inst             -> invokeStk1
  0 174829 4436207518760            6   cmd               -> list
  0 174829 4436207518768            8   cmd               <- list
  0 174829 4436207518774            6  inst             <- invokeStk1
  0 174829 4436207518780            5  inst             -> push1
  0 174829 4436207518786            5  inst             <- push1
  0 174829 4436207518791            5  inst             -> invokeStk1
  0 174829 4436207518798            6   cmd               -> foreach
  0 174829 4436207518821           23  inst                 -> push1
  0 174829 4436207518827            6  inst                 <- push1
  0 174829 4436207518833            5  inst                 -> push1
  0 174829 4436207518839            5  inst                 <- push1
  0 174829 4436207518844            5  inst                 -> push1
  0 174829 4436207518850            5  inst                 <- push1
  0 174829 4436207518856            5  inst                 -> loadScalarStk
  0 174829 4436207518862            6  inst                 <- loadScalarStk
  0 174829 4436207518868            5  inst                 -> push1
  0 174829 4436207518874            5  inst                 <- push1
  0 174829 4436207518879            5  inst                 -> loadScalarStk
  0 174829 4436207518886            6  inst                 <- loadScalarStk
  0 174829 4436207518892            5  inst                 -> invokeStk1
  0 174829 4436207518898            6   cmd                   -> lsearch
  0 174829 4436207518906            8   cmd                   <- lsearch
  0 174829 4436207518913            6  inst                 <- invokeStk1
  0 174829 4436207518918            5  inst                 -> push1
  0 174829 4436207518924            5  inst                 <- push1
  0 174829 4436207518930            5  inst                 -> lt
  0 174829 4436207518936            6  inst                 <- lt
  0 174829 4436207518942            5  inst                 -> push1
  0 174829 4436207518947            5  inst                 <- push1
  0 174829 4436207518953            5  inst                 -> push1
  0 174829 4436207518958            5  inst                 <- push1
  0 174829 4436207518964            5  inst                 -> push1
  0 174829 4436207518969            5  inst                 <- push1
  0 174829 4436207518975            5  inst                 -> loadScalarStk
  0 174829 4436207518981            6  inst                 <- loadScalarStk
  0 174829 4436207518987            5  inst                 -> invokeStk1
  0 174829 4436207518993            6   cmd                   -> lappend
  0 174829 4436207519002            8   cmd                   <- lappend
  0 174829 4436207519008            6  inst                 <- invokeStk1
  0 174829 4436207519013            5  inst                 -> jump1
  0 174829 4436207519019            5  inst                 <- jump1
  0 174829 4436207519025            5  inst                 -> done
  0 174829 4436207519030            5  inst                 <- done
  0 174829 4436207519038            8  inst                 -> push1
  0 174829 4436207519044            5  inst                 <- push1
  0 174829 4436207519050            5  inst                 -> push1
  0 174829 4436207519055            5  inst                 <- push1
  0 174829 4436207519061            5  inst                 -> push1
  0 174829 4436207519066            5  inst                 <- push1
  0 174829 4436207519072            5  inst                 -> loadScalarStk
  0 174829 4436207519078            5  inst                 <- loadScalarStk
  0 174829 4436207519084            5  inst                 -> push1
  0 174829 4436207519090            5  inst                 <- push1
  0 174829 4436207519095            5  inst                 -> loadScalarStk
  0 174829 4436207519102            6  inst                 <- loadScalarStk
  0 174829 4436207519108            5  inst                 -> invokeStk1
  0 174829 4436207519114            6   cmd                   -> lsearch
  0 174829 4436207519120            6   cmd                   <- lsearch
  0 174829 4436207519126            5  inst                 <- invokeStk1
  0 174829 4436207519132            5  inst                 -> push1
  0 174829 4436207519138            5  inst                 <- push1
  0 174829 4436207519143            5  inst                 -> lt
  0 174829 4436207519149            5  inst                 <- lt
  0 174829 4436207519155            5  inst                 -> push1
  0 174829 4436207519160            5  inst                 <- push1
  0 174829 4436207519166            5  inst                 -> push1
  0 174829 4436207519171            5  inst                 <- push1
  0 174829 4436207519177            5  inst                 -> push1
  0 174829 4436207519182            5  inst                 <- push1
  0 174829 4436207519188            5  inst                 -> loadScalarStk
  0 174829 4436207519194            5  inst                 <- loadScalarStk
  0 174829 4436207519200            5  inst                 -> invokeStk1
  0 174829 4436207519206            6   cmd                   -> lappend
  0 174829 4436207519213            7   cmd                   <- lappend
  0 174829 4436207519219            6  inst                 <- invokeStk1
  0 174829 4436207519225            5  inst                 -> jump1
  0 174829 4436207519231            5  inst                 <- jump1
  0 174829 4436207519236            5  inst                 -> done
  0 174829 4436207519242            5  inst                 <- done
  0 174829 4436207519248            6   cmd               <- foreach
  0 174829 4436207519255            6  inst             <- invokeStk1
  0 174829 4436207519260            5  inst             -> jump1
  0 174829 4436207519266            5  inst             <- jump1
  0 174829 4436207519272            5  inst             -> pop
  0 174829 4436207519277            5  inst             <- pop
  0 174829 4436207519283            5  inst             -> push1
  0 174829 4436207519288            5  inst             <- push1
  0 174829 4436207519294            5  inst             -> push1
  0 174829 4436207519300            5  inst             <- push1
  0 174829 4436207519305            5  inst             -> push1
  0 174829 4436207519311            5  inst             <- push1
  0 174829 4436207519316            5  inst             -> push1
  0 174829 4436207519322            5  inst             <- push1
  0 174829 4436207519328            5  inst             -> push1
  0 174829 4436207519333            5  inst             <- push1
  0 174829 4436207519339            5  inst             -> push1
  0 174829 4436207519344            5  inst             <- push1
  0 174829 4436207519350            5  inst             -> push1
  0 174829 4436207519356            5  inst             <- push1
  0 174829 4436207519362            5  inst             -> push1
  0 174829 4436207519367            5  inst             <- push1
  0 174829 4436207519373            5  inst             -> push1
  0 174829 4436207519378            5  inst             <- push1
  0 174829 4436207519384            5  inst             -> invokeStk1
  0 174829 4436207519390            6   cmd               -> info
  0 174829 4436207519399            8   cmd               <- info
  0 174829 4436207519405            5  inst             <- invokeStk1
  0 174829 4436207519411            5  inst             -> invokeStk1
  0 174829 4436207519417            6   cmd               -> file
  0 174829 4436207519435           18   cmd               <- file
  0 174829 4436207519442            6  inst             <- invokeStk1
  0 174829 4436207519448            5  inst             -> invokeStk1
  0 174829 4436207519454            6   cmd               -> file
  0 174829 4436207519471           17   cmd               <- file
  0 174829 4436207519478            6  inst             <- invokeStk1
  0 174829 4436207519484            5  inst             -> push1
  0 174829 4436207519490            5  inst             <- push1
  0 174829 4436207519495            5  inst             -> invokeStk1
  0 174829 4436207519502            6   cmd               -> file
  0 174829 4436207519512            9   cmd               <- file
  0 174829 4436207519518            6  inst             <- invokeStk1
  0 174829 4436207519524            5  inst             -> storeScalarStk
  0 174829 4436207519530            6  inst             <- storeScalarStk
  0 174829 4436207519536            6  inst             -> push1
  0 174829 4436207519542            5  inst             <- push1
  0 174829 4436207519547            5  inst             -> push1
  0 174829 4436207519553            5  inst             <- push1
  0 174829 4436207519559            5  inst             -> push1
  0 174829 4436207519564            5  inst             <- push1
  0 174829 4436207519570            5  inst             -> loadScalarStk
  0 174829 4436207519576            6  inst             <- loadScalarStk
  0 174829 4436207519582            5  inst             -> push1
  0 174829 4436207519587            5  inst             <- push1
  0 174829 4436207519593            5  inst             -> loadScalarStk
  0 174829 4436207519599            5  inst             <- loadScalarStk
  0 174829 4436207519605            5  inst             -> invokeStk1
  0 174829 4436207519611            6   cmd               -> lsearch
  0 174829 4436207519617            6   cmd               <- lsearch
  0 174829 4436207519623            6  inst             <- invokeStk1
  0 174829 4436207519629            5  inst             -> push1
  0 174829 4436207519635            5  inst             <- push1
  0 174829 4436207519640            5  inst             -> lt
  0 174829 4436207519646            5  inst             <- lt
  0 174829 4436207519652            5  inst             -> push1
  0 174829 4436207519657            5  inst             <- push1
  0 174829 4436207519663            5  inst             -> push1
  0 174829 4436207519668            5  inst             <- push1
  0 174829 4436207519674            5  inst             -> push1
  0 174829 4436207519679            5  inst             <- push1
  0 174829 4436207519685            5  inst             -> loadScalarStk
