The following are examples of j_flowtime.d.
  0 311481/2     4790256873464            9           -> java/lang/ref/ReferenceQueue.<init>
  0 311481/2     4790256873474            9             -> java/lang/Object.<init>
  0 311481/2     4790256873481            7             <- java/lang/Object.<init>
  0 311481/2     4790256873542           60             -> java/lang/ref/ReferenceQueue$Lock.<init>
  0 311481/2     4790256873553           10               -> java/lang/ref/ReferenceQueue$Lock.<init>
  0 311481/2     4790256873562            9                 -> java/lang/Object.<init>
  0 311481/2     4790256873570            7                 <- java/lang/Object.<init>
  0 311481/2     4790256873578            7               <- java/lang/ref/ReferenceQueue$Lock.<init>
  0 311481/2     4790256873585            7             <- java/lang/ref/ReferenceQueue$Lock.<init>
  0 311481/2     4790256873597           11           <- java/lang/ref/ReferenceQueue.<init>
  0 311481/2     4790256873604            7         <- java/lang/ref/ReferenceQueue$Null.<init>
  0 311481/2     4790256873612            7       <- java/lang/ref/ReferenceQueue$Null.<init>
  0 311481/2     4790256873622            9       -> java/lang/ref/ReferenceQueue$Null.<init>
  0 311481/2     4790256873629            7         -> java/lang/ref/ReferenceQueue$Null.<init>
  0 311481/2     4790256873636            7           -> java/lang/ref/ReferenceQueue.<init>
  0 311481/2     4790256873644            7             -> java/lang/Object.<init>
  0 311481/2     4790256873651            6             <- java/lang/Object.<init>
  0 311481/2     4790256873659            7             -> java/lang/ref/ReferenceQueue$Lock.<init>
[... 22800 lines truncated ...]
  0 311481/2     4790257387424            7       <- java/util/HashMap.indexFor
  0 311481/2     4790257387432            8     <- java/util/HashMap.put
  0 311481/2     4790257387440            7   <- java/util/HashSet.add
  0 311481/2     4790257387447            7 <- java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257387473           26 -> java/lang/reflect/Method.getModifiers
  0 311481/2     4790257387486           12 <- java/lang/reflect/Method.getModifiers
  0 311481/2     4790257387500           14 -> Func_abc.main
  0 311481/2     4790257387512           11   -> Func_abc.func_a
  0 311481/2     4790257387522            9     -> java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257387530            7       -> java/lang/System.getSecurityManager
  0 311481/2     4790257387537            7       <- java/lang/System.getSecurityManager
  0 311481/2     4790257387545            8       -> java/util/HashSet.add
  0 311481/2     4790257387552            7         -> java/util/HashMap.put
  0 311481/2     4790257387559            7           -> java/lang/Object.hashCode
  0 311481/2     4790257387567            7           <- java/lang/Object.hashCode
  0 311481/2     4790257387574            7           -> java/util/HashMap.hash
  0 311481/2     4790257387581            7           <- java/util/HashMap.hash
  0 311481/2     4790257387589            7           -> java/util/HashMap.indexFor
  0 311481/2     4790257387596            7           <- java/util/HashMap.indexFor
  0 311481/2     4790257387604            8         <- java/util/HashMap.put
  0 311481/2     4790257387611            7       <- java/util/HashSet.add
  0 311481/2     4790257387619            7     <- java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257387683           64     -> java/lang/ClassLoader.loadClassInternal
  0 311481/2     4790257387691            8       -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257387699            7         -> sun/misc/Launcher$AppClassLoader.loadClass
  0 311481/2     4790257387706            7           -> java/lang/String.lastIndexOf
  0 311481/2     4790257387713            7             -> java/lang/String.lastIndexOf
  0 311481/2     4790257387722            8             <- java/lang/String.lastIndexOf
  0 311481/2     4790257387729            7           <- java/lang/String.lastIndexOf
  0 311481/2     4790257387737            7           -> java/lang/System.getSecurityManager
  0 311481/2     4790257387760           22           <- java/lang/System.getSecurityManager
  0 311481/2     4790257387768            7           -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257387775            7             -> java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257387782            7               -> java/lang/ClassLoader.check
  0 311481/2     4790257387789            7               <- java/lang/ClassLoader.check
  0 311481/2     4790257387797            7               -> java/lang/ClassLoader.checkName
  0 311481/2     4790257387805            7                 -> java/lang/String.indexOf
  0 311481/2     4790257387812            7                   -> java/lang/String.indexOf
  0 311481/2     4790257387820            8                   <- java/lang/String.indexOf
  0 311481/2     4790257387828            7                 <- java/lang/String.indexOf
  0 311481/2     4790257387835            7                 -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257387843            7                 <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257387850            7                 -> java/lang/String.charAt
  0 311481/2     4790257387857            7                 <- java/lang/String.charAt
  0 311481/2     4790257387865            7               <- java/lang/ClassLoader.checkName
  0 311481/2     4790257387873            7               -> java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257387883            9               <- java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257387890            7             <- java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257387899            8             -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257387906            7               -> java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257387913            7                 -> java/lang/ClassLoader.check
  0 311481/2     4790257387920            7                 <- java/lang/ClassLoader.check
  0 311481/2     4790257387928            7                 -> java/lang/ClassLoader.checkName
  0 311481/2     4790257387935            7                   -> java/lang/String.indexOf
  0 311481/2     4790257387942            7                     -> java/lang/String.indexOf
  0 311481/2     4790257387951            8                     <- java/lang/String.indexOf
  0 311481/2     4790257387958            7                   <- java/lang/String.indexOf
  0 311481/2     4790257387966            7                   -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257387973            7                   <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257387981            7                   -> java/lang/String.charAt
  0 311481/2     4790257387988            7                   <- java/lang/String.charAt
  0 311481/2     4790257387995            7                 <- java/lang/ClassLoader.checkName
  0 311481/2     4790257388003            7                 -> java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257388012            8                 <- java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257388020            7               <- java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257388028            7               -> java/lang/ClassLoader.findBootstrapClass0
  0 311481/2     4790257388035            7                 -> java/lang/ClassLoader.check
  0 311481/2     4790257388042            7                 <- java/lang/ClassLoader.check
  0 311481/2     4790257388050            7                 -> java/lang/ClassLoader.checkName
  0 311481/2     4790257388057            7                   -> java/lang/String.indexOf
  0 311481/2     4790257388064            7                     -> java/lang/String.indexOf
  0 311481/2     4790257388072            8                     <- java/lang/String.indexOf
  0 311481/2     4790257388080            7                   <- java/lang/String.indexOf
  0 311481/2     4790257388087            7                   -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257388094            7                   <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257388102            7                   -> java/lang/String.charAt
  0 311481/2     4790257388109            7                   <- java/lang/String.charAt
  0 311481/2     4790257388117            7                 <- java/lang/ClassLoader.checkName
  0 311481/2     4790257388124            7                 -> java/lang/ClassLoader.findBootstrapClass
  0 311481/2     4790257388134            9                 <- java/lang/ClassLoader.findBootstrapClass
  0 311481/2     4790257388142            8               <- java/lang/ClassLoader.findBootstrapClass0
  0 311481/2     4790257388150            8             <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257388158            7           <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257388166            7         <- sun/misc/Launcher$AppClassLoader.loadClass
  0 311481/2     4790257388173            7       <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257388181            7     <- java/lang/ClassLoader.loadClassInternal
  0 311481/2     4790257388193           11     -> java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257388200            7       -> java/lang/System.getSecurityManager
  0 311481/2     4790257388207            7       <- java/lang/System.getSecurityManager
  0 311481/2     4790257388215            7       -> java/util/HashSet.add
  0 311481/2     4790257388223            7         -> java/util/HashMap.put
  0 311481/2     4790257388230            7           -> java/lang/Object.hashCode
  0 311481/2     4790257388237            7           <- java/lang/Object.hashCode
  0 311481/2     4790257388245            7           -> java/util/HashMap.hash
  0 311481/2     4790257388252            7           <- java/util/HashMap.hash
  0 311481/2     4790257388260            7           -> java/util/HashMap.indexFor
  0 311481/2     4790257388267            7           <- java/util/HashMap.indexFor
  0 311481/2     4790257388275            7         <- java/util/HashMap.put
  0 311481/2     4790257388282            7       <- java/util/HashSet.add
  0 311481/2     4790257388290            7     <- java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257388305           15     -> java/io/PrintStream.println
  0 311481/2     4790257388316           11       -> java/io/PrintStream.print
  0 311481/2     4790257388326            9         -> java/io/PrintStream.write
  0 311481/2     4790257388335            9           -> java/io/PrintStream.ensureOpen
  0 311481/2     4790257388345           10           <- java/io/PrintStream.ensureOpen
  0 311481/2     4790257388358           12           -> java/io/Writer.write
  0 311481/2     4790257388371           13             -> java/io/BufferedWriter.write
  0 311481/2     4790257388382           10               -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257388389            7               <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257388399           10               -> java/io/BufferedWriter.min
  0 311481/2     4790257388407            7               <- java/io/BufferedWriter.min
  0 311481/2     4790257388417           10               -> java/lang/String.getChars
  0 311481/2     4790257388425            8                 -> java/lang/System.arraycopy
  0 311481/2     4790257388434            8                 <- java/lang/System.arraycopy
  0 311481/2     4790257388442            7               <- java/lang/String.getChars
  0 311481/2     4790257388450            8             <- java/io/BufferedWriter.write
  0 311481/2     4790257388457            7           <- java/io/Writer.write
  0 311481/2     4790257388467           10           -> java/io/BufferedWriter.flushBuffer
  0 311481/2     4790257388475            7             -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257388482            7             <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257388493           10             -> java/io/OutputStreamWriter.write
  0 311481/2     4790257388504           11               -> sun/nio/cs/StreamEncoder.write
  0 311481/2     4790257388515           10                 -> sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790257388522            7                 <- sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790257388533           10                 -> sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790257388544           11                   -> java/nio/CharBuffer.wrap
  0 311481/2     4790257388552            8                     -> java/nio/HeapCharBuffer.<init>
  0 311481/2     4790257388560            7                       -> java/nio/CharBuffer.<init>
  0 311481/2     4790257388567            7                         -> java/nio/Buffer.<init>
  0 311481/2     4790257388574            7                           -> java/lang/Object.<init>
  0 311481/2     4790257388582            7                           <- java/lang/Object.<init>
  0 311481/2     4790257388590            8                           -> java/nio/Buffer.limit
  0 311481/2     4790257388598            7                           <- java/nio/Buffer.limit
  0 311481/2     4790257388605            7                           -> java/nio/Buffer.position
  0 311481/2     4790257388612            7                           <- java/nio/Buffer.position
  0 311481/2     4790257388620            7                         <- java/nio/Buffer.<init>
  0 311481/2     4790257388628            7                       <- java/nio/CharBuffer.<init>
  0 311481/2     4790257388635            7                     <- java/nio/HeapCharBuffer.<init>
  0 311481/2     4790257388643            7                   <- java/nio/CharBuffer.wrap
  0 311481/2     4790257388654           10                   -> java/nio/Buffer.hasRemaining
  0 311481/2     4790257388661            7                   <- java/nio/Buffer.hasRemaining
  0 311481/2     4790257388673           11                   -> java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790257388684           10                     -> sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790257388695           10                       -> java/nio/CharBuffer.hasArray
  0 311481/2     4790257388702            7                       <- java/nio/CharBuffer.hasArray
  0 311481/2     4790257388714           11                       -> java/nio/ByteBuffer.hasArray
  0 311481/2     4790257388722            7                       <- java/nio/ByteBuffer.hasArray
  0 311481/2     4790257388732           10                       -> sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790257388742            9                         -> java/nio/CharBuffer.array
  0 311481/2     4790257388749            7                         <- java/nio/CharBuffer.array
  0 311481/2     4790257388759            9                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388766            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388776            9                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388784            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388797           13                         -> java/nio/ByteBuffer.array
  0 311481/2     4790257388804            7                         <- java/nio/ByteBuffer.array
  0 311481/2     4790257388814            9                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388821            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388831            9                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388838            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388853           14                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388861            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257388871            9                         -> java/nio/Buffer.position
  0 311481/2     4790257388878            7                         <- java/nio/Buffer.position
  0 311481/2     4790257388886            7                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388893            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257388903            9                         -> java/nio/Buffer.position
  0 311481/2     4790257388910            7                         <- java/nio/Buffer.position
  0 311481/2     4790257388918            7                       <- sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790257388925            7                     <- sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790257388936           10                     -> java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790257388943            7                     <- java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790257388953            9                     -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257388961            7                     <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257388969            7                   <- java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790257388979           10                   -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257388987            7                   <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257388998           11                   -> java/nio/Buffer.remaining
  0 311481/2     4790257389005            7                   <- java/nio/Buffer.remaining
  0 311481/2     4790257389013            7                 <- sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790257389020            7               <- sun/nio/cs/StreamEncoder.write
  0 311481/2     4790257389028            7             <- java/io/OutputStreamWriter.write
  0 311481/2     4790257389113           85           <- java/io/BufferedWriter.flushBuffer
  0 311481/2     4790257389125           11           -> java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790257389135            9             -> sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790257389146           11               -> sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790257389158           11                 -> sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790257389167            9                   -> java/nio/Buffer.flip
  0 311481/2     4790257389174            7                   <- java/nio/Buffer.flip
  0 311481/2     4790257389186           11                   -> java/nio/ByteBuffer.array
  0 311481/2     4790257389193            7                   <- java/nio/ByteBuffer.array
  0 311481/2     4790257389203            9                   -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257389210            7                   <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257389222           11                   -> java/io/PrintStream.write
  0 311481/2     4790257389230            7                     -> java/io/PrintStream.ensureOpen
  0 311481/2     4790257389237            7                     <- java/io/PrintStream.ensureOpen
  0 311481/2     4790257389248           11                     -> java/io/BufferedOutputStream.write
  0 311481/2     4790257389261           12                       -> java/lang/System.arraycopy
  0 311481/2     4790257389268            7                       <- java/lang/System.arraycopy
  0 311481/2     4790257389276            7                     <- java/io/BufferedOutputStream.write
  0 311481/2     4790257389286            9                     -> java/io/BufferedOutputStream.flush
  0 311481/2     4790257389295            9                       -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257389307           11                         -> java/io/FileOutputStream.write
  0 311481/2     4790257389317           10                           -> java/io/FileOutputStream.writeBytes
  0 311481/2     4790257389479          162                           <- java/io/FileOutputStream.writeBytes
  0 311481/2     4790257389489            9                         <- java/io/FileOutputStream.write
  0 311481/2     4790257389497            7                       <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257389509           12                     <- java/io/BufferedOutputStream.flush
  0 311481/2     4790257389517            8                   <- java/io/PrintStream.write
  0 311481/2     4790257389527           10                   -> java/nio/Buffer.clear
  0 311481/2     4790257389536            8                   <- java/nio/Buffer.clear
  0 311481/2     4790257389543            7                 <- sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790257389551            7               <- sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790257389559            7             <- sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790257389566            7           <- java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790257389579           12           -> java/lang/String.indexOf
  0 311481/2     4790257389586            7             -> java/lang/String.indexOf
  0 311481/2     4790257389595            8             <- java/lang/String.indexOf
  0 311481/2     4790257389602            7           <- java/lang/String.indexOf
  0 311481/2     4790257389610            7         <- java/io/PrintStream.write
  0 311481/2     4790257389617            7       <- java/io/PrintStream.print
  0 311481/2     4790257389627            9       -> java/io/PrintStream.newLine
  0 311481/2     4790257389635            7         -> java/io/PrintStream.ensureOpen
  0 311481/2     4790257389642            7         <- java/io/PrintStream.ensureOpen
  0 311481/2     4790257389651            9         -> java/io/BufferedWriter.newLine
  0 311481/2     4790257389661            9           -> java/io/Writer.write
  0 311481/2     4790257389668            7             -> java/io/BufferedWriter.write
  0 311481/2     4790257389713           44               -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257389721            7               <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257389729            8               -> java/io/BufferedWriter.min
  0 311481/2     4790257389737            7               <- java/io/BufferedWriter.min
  0 311481/2     4790257389744            7               -> java/lang/String.getChars
  0 311481/2     4790257389752            7                 -> java/lang/System.arraycopy
  0 311481/2     4790257389760            7                 <- java/lang/System.arraycopy
  0 311481/2     4790257389767            7               <- java/lang/String.getChars
  0 311481/2     4790257389775            7             <- java/io/BufferedWriter.write
  0 311481/2     4790257389783            7           <- java/io/Writer.write
  0 311481/2     4790257389790            7         <- java/io/BufferedWriter.newLine
  0 311481/2     4790257389798            7         -> java/io/BufferedWriter.flushBuffer
  0 311481/2     4790257389805            7           -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257389812            7           <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790257389820            7           -> java/io/OutputStreamWriter.write
  0 311481/2     4790257389828            7             -> sun/nio/cs/StreamEncoder.write
  0 311481/2     4790257389835            7               -> sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790257389842            7               <- sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790257389850            7               -> sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790257389857            7                 -> java/nio/CharBuffer.wrap
  0 311481/2     4790257389865            7                   -> java/nio/HeapCharBuffer.<init>
  0 311481/2     4790257389872            7                     -> java/nio/CharBuffer.<init>
  0 311481/2     4790257389879            7                       -> java/nio/Buffer.<init>
  0 311481/2     4790257389886            6                         -> java/lang/Object.<init>
  0 311481/2     4790257389893            7                         <- java/lang/Object.<init>
  0 311481/2     4790257389901            7                         -> java/nio/Buffer.limit
  0 311481/2     4790257389908            7                         <- java/nio/Buffer.limit
  0 311481/2     4790257389916            7                         -> java/nio/Buffer.position
  0 311481/2     4790257389923            7                         <- java/nio/Buffer.position
  0 311481/2     4790257389930            7                       <- java/nio/Buffer.<init>
  0 311481/2     4790257389938            7                     <- java/nio/CharBuffer.<init>
  0 311481/2     4790257389946            7                   <- java/nio/HeapCharBuffer.<init>
  0 311481/2     4790257389953            7                 <- java/nio/CharBuffer.wrap
  0 311481/2     4790257389961            7                 -> java/nio/Buffer.hasRemaining
  0 311481/2     4790257389968            7                 <- java/nio/Buffer.hasRemaining
  0 311481/2     4790257389976            7                 -> java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790257389984            7                   -> sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790257389991            7                     -> java/nio/CharBuffer.hasArray
  0 311481/2     4790257389998            7                     <- java/nio/CharBuffer.hasArray
  0 311481/2     4790257390760          761                     -> java/nio/ByteBuffer.hasArray
  0 311481/2     4790257390772           11                     <- java/nio/ByteBuffer.hasArray
  0 311481/2     4790257390782           10                     -> sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790257390790            7                       -> java/nio/CharBuffer.array
  0 311481/2     4790257390797            7                       <- java/nio/CharBuffer.array
  0 311481/2     4790257390805            7                       -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390812            7                       <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390820            8                       -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390828            7                       <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390836            8                       -> java/nio/ByteBuffer.array
  0 311481/2     4790257390844            7                       <- java/nio/ByteBuffer.array
  0 311481/2     4790257390851            7                       -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390859            7                       <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390866            7                       -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390874            7                       <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390883            8                       -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390890            7                       <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790257390898            8                       -> java/nio/Buffer.position
  0 311481/2     4790257390906            7                       <- java/nio/Buffer.position
  0 311481/2     4790257390913            7                       -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390921            7                       <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257390928            7                       -> java/nio/Buffer.position
  0 311481/2     4790257390936            7                       <- java/nio/Buffer.position
  0 311481/2     4790257390943            7                     <- sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790257390951            7                   <- sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790257390959            8                   -> java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790257390967            7                   <- java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790257390974            7                   -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257390982            7                   <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257390990            7                 <- java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790257390998            7                 -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257391005            7                 <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790257391013            8                 -> java/nio/Buffer.remaining
  0 311481/2     4790257391020            7                 <- java/nio/Buffer.remaining
  0 311481/2     4790257391028            7               <- sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790257391036            7             <- sun/nio/cs/StreamEncoder.write
  0 311481/2     4790257391044            7           <- java/io/OutputStreamWriter.write
  0 311481/2     4790257391052            8         <- java/io/BufferedWriter.flushBuffer
  0 311481/2     4790257391060            7         -> java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790257391067            7           -> sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790257391075            7             -> sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790257391082            7               -> sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790257391090            7                 -> java/nio/Buffer.flip
