# CaseFolding-2.txt
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to this mapping, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# For information on case folding, see 
# UTR #21 Case Mappings, at http://www.unicode.org/unicode/reports/tr21/
#
# These are informative character properties.
#
# Send comments to mark@unicode.org
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status is:
#   L (for Lowercase) if the case mapping matches the standard 1-1 lowercase mapping
#   E (for exception) if it does not.
#
# The mapping may consist of multiple characters.
# If so, they are separated by spaces.
#
# =================================================================

0041; L; 0061;	#LATIN CAPITAL LETTER A
00CC; L; 00EC;	#LATIN CAPITAL LETTER I WITH GRAVE
00CD; L; 00ED;	#LATIN CAPITAL LETTER I WITH ACUTE
00CE; L; 00EE;	#LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF; L; 00EF;	#LATIN CAPITAL LETTER I WITH DIAERESIS
00D0; L; 00F0;	#LATIN CAPITAL LETTER ETH
00D1; L; 00F1;	#LATIN CAPITAL LETTER N WITH TILDE
00D2; L; 00F2;	#LATIN CAPITAL LETTER O WITH GRAVE
00D3; L; 00F3;	#LATIN CAPITAL LETTER O WITH ACUTE
00D4; L; 00F4;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5; L; 00F5;	#LATIN CAPITAL LETTER O WITH TILDE
00D6; L; 00F6;	#LATIN CAPITAL LETTER O WITH DIAERESIS
00D8; L; 00F8;	#LATIN CAPITAL LETTER O WITH STROKE
00D9; L; 00F9;	#LATIN CAPITAL LETTER U WITH GRAVE
00DA; L; 00FA;	#LATIN CAPITAL LETTER U WITH ACUTE
00DB; L; 00FB;	#LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC; L; 00FC;	#LATIN CAPITAL LETTER U WITH DIAERESIS
00DD; L; 00FD;	#LATIN CAPITAL LETTER Y WITH ACUTE
00DE; L; 00FE;	#LATIN CAPITAL LETTER THORN
00DF; E; 0073 0073;	#LATIN SMALL LETTER SHARP S
0100; L; 0101;	#LATIN CAPITAL LETTER A WITH MACRON
0102; L; 0103;	#LATIN CAPITAL LETTER A WITH BREVE
0104; L; 0105;	#LATIN CAPITAL LETTER A WITH OGONEK
0106; L; 0107;	#LATIN CAPITAL LETTER C WITH ACUTE
0108; L; 0109;	#LATIN CAPITAL LETTER C WITH CIRCUMFLEX
010A; L; 010B;	#LATIN CAPITAL LETTER C WITH DOT ABOVE
010C; L; 010D;	#LATIN CAPITAL LETTER C WITH CARON
010E; L; 010F;	#LATIN CAPITAL LETTER D WITH CARON
0110; L; 0111;	#LATIN CAPITAL LETTER D WITH STROKE
0112; L; 0113;	#LATIN CAPITAL LETTER E WITH MACRON
0114; L; 0115;	#LATIN CAPITAL LETTER E WITH BREVE
0116; L; 0117;	#LATIN CAPITAL LETTER E WITH DOT ABOVE
0118; L; 0119;	#LATIN CAPITAL LETTER E WITH OGONEK
011A; L; 011B;	#LATIN CAPITAL LETTER E WITH CARON
011C; L; 011D;	#LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011E; L; 011F;	#LATIN CAPITAL LETTER G WITH BREVE
0120; L; 0121;	#LATIN CAPITAL LETTER G WITH DOT ABOVE
0122; L; 0123;	#LATIN CAPITAL LETTER G WITH CEDILLA
0124; L; 0125;	#LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0126; L; 0127;	#LATIN CAPITAL LETTER H WITH STROKE
0128; L; 0129;	#LATIN CAPITAL LETTER I WITH TILDE
012A; L; 012B;	#LATIN CAPITAL LETTER I WITH MACRON
012C; L; 012D;	#LATIN CAPITAL LETTER I WITH BREVE
012E; L; 012F;	#LATIN CAPITAL LETTER I WITH OGONEK
0130; L; 0069;	#LATIN CAPITAL LETTER I WITH DOT ABOVE
0131; E; 0069;	#LATIN SMALL LETTER DOTLESS I
0132; L; 0133;	#LATIN CAPITAL LIGATURE IJ
0134; L; 0135;	#LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0136; L; 0137;	#LATIN CAPITAL LETTER K WITH CEDILLA
0139; L; 013A;	#LATIN CAPITAL LETTER L WITH ACUTE
013B; L; 013C;	#LATIN CAPITAL LETTER L WITH CEDILLA
013D; L; 013E;	#LATIN CAPITAL LETTER L WITH CARON
013F; L; 0140;	#LATIN CAPITAL LETTER L WITH MIDDLE DOT
0141; L; 0142;	#LATIN CAPITAL LETTER L WITH STROKE
0143; L; 0144;	#LATIN CAPITAL LETTER N WITH ACUTE
0145; L; 0146;	#LATIN CAPITAL LETTER N WITH CEDILLA
0147; L; 0148;	#LATIN CAPITAL LETTER N WITH CARON
0149; E; 02BC 006E;	#LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014A; L; 014B;	#LATIN CAPITAL LETTER ENG
014C; L; 014D;	#LATIN CAPITAL LETTER O WITH MACRON
014E; L; 014F;	#LATIN CAPITAL LETTER O WITH BREVE
0150; L; 0151;	#LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0152; L; 0153;	#LATIN CAPITAL LIGATURE OE
0154; L; 0155;	#LATIN CAPITAL LETTER R WITH ACUTE
0156; L; 0157;	#LATIN CAPITAL LETTER R WITH CEDILLA
0158; L; 0159;	#LATIN CAPITAL LETTER R WITH CARON
015A; L; 015B;	#LATIN CAPITAL LETTER S WITH ACUTE
015C; L; 015D;	#LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015E; L; 015F;	#LATIN CAPITAL LETTER S WITH CEDILLA
0160; L; 0161;	#LATIN CAPITAL LETTER S WITH CARON
0162; L; 0163;	#LATIN CAPITAL LETTER T WITH CEDILLA
0164; L; 0165;	#LATIN CAPITAL LETTER T WITH CARON
0166; L; 0167;	#LATIN CAPITAL LETTER T WITH STROKE
0168; L; 0169;	#LATIN CAPITAL LETTER U WITH TILDE
016A; L; 016B;	#LATIN CAPITAL LETTER U WITH MACRON
016C; L; 016D;	#LATIN CAPITAL LETTER U WITH BREVE
016E; L; 016F;	#LATIN CAPITAL LETTER U WITH RING ABOVE
0170; L; 0171;	#LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0172; L; 0173;	#LATIN CAPITAL LETTER U WITH OGONEK
0174; L; 0175;	#LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0176; L; 0177;	#LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0178; L; 00FF;	#LATIN CAPITAL LETTER Y WITH DIAERESIS
0179; L; 017A;	#LATIN CAPITAL LETTER Z WITH ACUTE
017B; L; 017C;	#LATIN CAPITAL LETTER Z WITH DOT ABOVE
017D; L; 017E;	#LATIN CAPITAL LETTER Z WITH CARON
017F; E; 0073;	#LATIN SMALL LETTER LONG S
0181; L; 0253;	#LATIN CAPITAL LETTER B WITH HOOK
0182; L; 0183;	#LATIN CAPITAL LETTER B WITH TOPBAR
0184; L; 0185;	#LATIN CAPITAL LETTER TONE SIX
0186; L; 0254;	#LATIN CAPITAL LETTER OPEN O
0187; L; 0188;	#LATIN CAPITAL LETTER C WITH HOOK
0189; L; 0256;	#LATIN CAPITAL LETTER AFRICAN D
018A; L; 0257;	#LATIN CAPITAL LETTER D WITH HOOK
018B; L; 018C;	#LATIN CAPITAL LETTER D WITH TOPBAR
018E; L; 01DD;	#LATIN CAPITAL LETTER REVERSED E
018F; L; 0259;	#LATIN CAPITAL LETTER SCHWA
0190; L; 025B;	#LATIN CAPITAL LETTER OPEN E
0191; L; 0192;	#LATIN CAPITAL LETTER F WITH HOOK
0193; L; 0260;	#LATIN CAPITAL LETTER G WITH HOOK
0194; L; 0263;	#LATIN CAPITAL LETTER GAMMA
0196; L; 0269;	#LATIN CAPITAL LETTER IOTA
0197; L; 0268;	#LATIN CAPITAL LETTER I WITH STROKE
0198; L; 0199;	#LATIN CAPITAL LETTER K WITH HOOK
019C; L; 026F;	#LATIN CAPITAL LETTER TURNED M
019D; L; 0272;	#LATIN CAPITAL LETTER N WITH LEFT HOOK
019F; L; 0275;	#LATIN CAPITAL LETTER O WITH MIDDLE TILDE
01A0; L; 01A1;	#LATIN CAPITAL LETTER O WITH HORN
01A2; L; 01A3;	#LATIN CAPITAL LETTER OI
01A4; L; 01A5;	#LATIN CAPITAL LETTER P WITH HOOK
01A6; L; 0280;	#LATIN LETTER YR
01A7; L; 01A8;	#LATIN CAPITAL LETTER TONE TWO
01A9; L; 0283;	#LATIN CAPITAL LETTER ESH
01AC; L; 01AD;	#LATIN CAPITAL LETTER T WITH HOOK
01AE; L; 0288;	#LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
01AF; L; 01B0;	#LATIN CAPITAL LETTER U WITH HORN
01B1; L; 028A;	#LATIN CAPITAL LETTER UPSILON
01B2; L; 028B;	#LATIN CAPITAL LETTER V WITH HOOK
01B3; L; 01B4;	#LATIN CAPITAL LETTER Y WITH HOOK
01B5; L; 01B6;	#LATIN CAPITAL LETTER Z WITH STROKE
01B7; L; 0292;	#LATIN CAPITAL LETTER EZH
01B8; L; 01B9;	#LATIN CAPITAL LETTER EZH REVERSED
01BC; L; 01BD;	#LATIN CAPITAL LETTER TONE FIVE
01C4; L; 01C6;	#LATIN CAPITAL LETTER DZ WITH CARON
01C5; L; 01C6;	#LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
01C7; L; 01C9;	#LATIN CAPITAL LETTER LJ
01C8; L; 01C9;	#LATIN CAPITAL LETTER L WITH SMALL LETTER J
01CA; L; 01CC;	#LATIN CAPITAL LETTER NJ
01CB; L; 01CC;	#LATIN CAPITAL LETTER N WITH SMALL LETTER J
01CD; L; 01CE;	#LATIN CAPITAL LETTER A WITH CARON
01CF; L; 01D0;	#LATIN CAPITAL LETTER I WITH CARON
01D1; L; 01D2;	#LATIN CAPITAL LETTER O WITH CARON
01D3; L; 01D4;	#LATIN CAPITAL LETTER U WITH CARON
01D5; L; 01D6;	#LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D7; L; 01D8;	#LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D9; L; 01DA;	#LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DB; L; 01DC;	#LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DE; L; 01DF;	#LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01E0; L; 01E1;	#LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E2; L; 01E3;	#LATIN CAPITAL LETTER AE WITH MACRON
01E4; L; 01E5;	#LATIN CAPITAL LETTER G WITH STROKE
01E6; L; 01E7;	#LATIN CAPITAL LETTER G WITH CARON
01E8; L; 01E9;	#LATIN CAPITAL LETTER K WITH CARON
01EA; L; 01EB;	#LATIN CAPITAL LETTER O WITH OGONEK
01EC; L; 01ED;	#LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01EE; L; 01EF;	#LATIN CAPITAL LETTER EZH WITH CARON
01F0; E; 006A 030C;	#LATIN SMALL LETTER J WITH CARON
01F1; L; 01F3;	#LATIN CAPITAL LETTER DZ
01F2; L; 01F3;	#LATIN CAPITAL LETTER D WITH SMALL LETTER Z
01F4; L; 01F5;	#LATIN CAPITAL LETTER G WITH ACUTE
01F6; L; 0195;	#LATIN CAPITAL LETTER HWAIR
01F7; L; 01BF;	#LATIN CAPITAL LETTER WYNN
01F8; L; 01F9;	#LATIN CAPITAL LETTER N WITH GRAVE
01FA; L; 01FB;	#LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FC; L; 01FD;	#LATIN CAPITAL LETTER AE WITH ACUTE
01FE; L; 01FF;	#LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0200; L; 0201;	#LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0202; L; 0203;	#LATIN CAPITAL LETTER A WITH INVERTED BREVE
0204; L; 0205;	#LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0206; L; 0207;	#LATIN CAPITAL LETTER E WITH INVERTED BREVE
0208; L; 0209;	#LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
020A; L; 020B;	#LATIN CAPITAL LETTER I WITH INVERTED BREVE
020C; L; 020D;	#LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
020E; L; 020F;	#LATIN CAPITAL LETTER O WITH INVERTED BREVE
0210; L; 0211;	#LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0212; L; 0213;	#LATIN CAPITAL LETTER R WITH INVERTED BREVE
0214; L; 0215;	#LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0216; L; 0217;	#LATIN CAPITAL LETTER U WITH INVERTED BREVE
0218; L; 0219;	#LATIN CAPITAL LETTER S WITH COMMA BELOW
021A; L; 021B;	#LATIN CAPITAL LETTER T WITH COMMA BELOW
021C; L; 021D;	#LATIN CAPITAL LETTER YOGH
021E; L; 021F;	#LATIN CAPITAL LETTER H WITH CARON
0222; L; 0223;	#LATIN CAPITAL LETTER OU
0224; L; 0225;	#LATIN CAPITAL LETTER Z WITH HOOK
0226; L; 0227;	#LATIN CAPITAL LETTER A WITH DOT ABOVE
0228; L; 0229;	#LATIN CAPITAL LETTER E WITH CEDILLA
022A; L; 022B;	#LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
022C; L; 022D;	#LATIN CAPITAL LETTER O WITH TILDE AND MACRON
022E; L; 022F;	#LATIN CAPITAL LETTER O WITH DOT ABOVE
0230; L; 0231;	#LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0232; L; 0233;	#LATIN CAPITAL LETTER Y WITH MACRON
0345; E; 03B9;	#COMBINING GREEK YPOGEGRAMMENI
0386; L; 03AC;	#GREEK CAPITAL LETTER ALPHA WITH TONOS
0388; L; 03AD;	#GREEK CAPITAL LETTER EPSILON WITH TONOS
0389; L; 03AE;	#GREEK CAPITAL LETTER ETA WITH TONOS
038A; L; 03AF;	#GREEK CAPITAL LETTER IOTA WITH TONOS
038C; L; 03CC;	#GREEK CAPITAL LETTER OMICRON WITH TONOS
038E; L; 03CD;	#GREEK CAPITAL LETTER UPSILON WITH TONOS
038F; L; 03CE;	#GREEK CAPITAL LETTER OMEGA WITH TONOS
0390; E; 03B9 0308 0301;	#GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391; L; 03B1;	#GREEK CAPITAL LETTER ALPHA
0392; L; 03B2;	#GREEK CAPITAL LETTER BETA
0393; L; 03B3;	#GREEK CAPITAL LETTER GAMMA
0394; L; 03B4;	#GREEK CAPITAL LETTER DELTA
0395; L; 03B5;	#GREEK CAPITAL LETTER EPSILON
0396; L; 03B6;	#GREEK CAPITAL LETTER ZETA
0397; L; 03B7;	#GREEK CAPITAL LETTER ETA
0398; L; 03B8;	#GREEK CAPITAL LETTER THETA
0399; L; 03B9;	#GREEK CAPITAL LETTER IOTA
039A; L; 03BA;	#GREEK CAPITAL LETTER KAPPA
039B; L; 03BB;	#GREEK CAPITAL LETTER LAMDA
039C; L; 03BC;	#GREEK CAPITAL LETTER MU
039D; L; 03BD;	#GREEK CAPITAL LETTER NU
039E; L; 03BE;	#GREEK CAPITAL LETTER XI
039F; L; 03BF;	#GREEK CAPITAL LETTER OMICRON
03A0; L; 03C0;	#GREEK CAPITAL LETTER PI
03A1; L; 03C1;	#GREEK CAPITAL LETTER RHO
03A3; E; 03C2;	#GREEK CAPITAL LETTER SIGMA
03A4; L; 03C4;	#GREEK CAPITAL LETTER TAU
03A5; L; 03C5;	#GREEK CAPITAL LETTER UPSILON
03A6; L; 03C6;	#GREEK CAPITAL LETTER PHI
03A7; L; 03C7;	#GREEK CAPITAL LETTER CHI
03A8; L; 03C8;	#GREEK CAPITAL LETTER PSI
03A9; L; 03C9;	#GREEK CAPITAL LETTER OMEGA
03AA; L; 03CA;	#GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03AB; L; 03CB;	#GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03B0; E; 03C5 0308 0301;	#GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
03C2; L; 03C2;	#GREEK SMALL LETTER FINAL SIGMA
03C3; E; 03C2;	#GREEK SMALL LETTER SIGMA
03D0; E; 03B2;	#GREEK BETA SYMBOL
03D1; E; 03B8;	#GREEK THETA SYMBOL
03D5; E; 03C6;	#GREEK PHI SYMBOL
03D6; E; 03C0;	#GREEK PI SYMBOL
03DA; L; 03DB;	#GREEK LETTER STIGMA
03DC; L; 03DD;	#GREEK LETTER DIGAMMA
03DE; L; 03DF;	#GREEK LETTER KOPPA
03E0; L; 03E1;	#GREEK LETTER SAMPI
03E2; L; 03E3;	#COPTIC CAPITAL LETTER SHEI
03E4; L; 03E5;	#COPTIC CAPITAL LETTER FEI
03E6; L; 03E7;	#COPTIC CAPITAL LETTER KHEI
03E8; L; 03E9;	#COPTIC CAPITAL LETTER HORI
03EA; L; 03EB;	#COPTIC CAPITAL LETTER GANGIA
03EC; L; 03ED;	#COPTIC CAPITAL LETTER SHIMA
03EE; L; 03EF;	#COPTIC CAPITAL LETTER DEI
03F0; E; 03BA;	#GREEK KAPPA SYMBOL
03F1; E; 03C1;	#GREEK RHO SYMBOL
03F2; E; 03C2;	#GREEK LUNATE SIGMA SYMBOL
0400; L; 0450;	#CYRILLIC CAPITAL LETTER IE WITH GRAVE
0401; L; 0451;	#CYRILLIC CAPITAL LETTER IO
0402; L; 0452;	#CYRILLIC CAPITAL LETTER DJE
0403; L; 0453;	#CYRILLIC CAPITAL LETTER GJE
0404; L; 0454;	#CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405; L; 0455;	#CYRILLIC CAPITAL LETTER DZE
0406; L; 0456;	#CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0407; L; 0457;	#CYRILLIC CAPITAL LETTER YI
0408; L; 0458;	#CYRILLIC CAPITAL LETTER JE
0409; L; 0459;	#CYRILLIC CAPITAL LETTER LJE
040A; L; 045A;	#CYRILLIC CAPITAL LETTER NJE
040B; L; 045B;	#CYRILLIC CAPITAL LETTER TSHE
040C; L; 045C;	#CYRILLIC CAPITAL LETTER KJE
040D; L; 045D;	#CYRILLIC CAPITAL LETTER I WITH GRAVE
040E; L; 045E;	#CYRILLIC CAPITAL LETTER SHORT U
040F; L; 045F;	#CYRILLIC CAPITAL LETTER DZHE
0410; L; 0430;	#CYRILLIC CAPITAL LETTER A
0411; L; 0431;	#CYRILLIC CAPITAL LETTER BE
0412; L; 0432;	#CYRILLIC CAPITAL LETTER VE
0413; L; 0433;	#CYRILLIC CAPITAL LETTER GHE
0414; L; 0434;	#CYRILLIC CAPITAL LETTER DE
0415; L; 0435;	#CYRILLIC CAPITAL LETTER IE
0416; L; 0436;	#CYRILLIC CAPITAL LETTER ZHE
0417; L; 0437;	#CYRILLIC CAPITAL LETTER ZE
0418; L; 0438;	#CYRILLIC CAPITAL LETTER I
0419; L; 0439;	#CYRILLIC CAPITAL LETTER SHORT I
041A; L; 043A;	#CYRILLIC CAPITAL LETTER KA
041B; L; 043B;	#CYRILLIC CAPITAL LETTER EL
041C; L; 043C;	#CYRILLIC CAPITAL LETTER EM
041D; L; 043D;	#CYRILLIC CAPITAL LETTER EN
041E; L; 043E;	#CYRILLIC CAPITAL LETTER O
041F; L; 043F;	#CYRILLIC CAPITAL LETTER PE
0420; L; 0440;	#CYRILLIC CAPITAL LETTER ER
0421; L; 0441;	#CYRILLIC CAPITAL LETTER ES
0422; L; 0442;	#CYRILLIC CAPITAL LETTER TE
0423; L; 0443;	#CYRILLIC CAPITAL LETTER U
0424; L; 0444;	#CYRILLIC CAPITAL LETTER EF
0425; L; 0445;	#CYRILLIC CAPITAL LETTER HA
0426; L; 0446;	#CYRILLIC CAPITAL LETTER TSE
0427; L; 0447;	#CYRILLIC CAPITAL LETTER CHE
0428; L; 0448;	#CYRILLIC CAPITAL LETTER SHA
0429; L; 0449;	#CYRILLIC CAPITAL LETTER SHCHA
042A; L; 044A;	#CYRILLIC CAPITAL LETTER HARD SIGN
042B; L; 044B;	#CYRILLIC CAPITAL LETTER YERU
042C; L; 044C;	#CYRILLIC CAPITAL LETTER SOFT SIGN
042D; L; 044D;	#CYRILLIC CAPITAL LETTER E
042E; L; 044E;	#CYRILLIC CAPITAL LETTER YU
042F; L; 044F;	#CYRILLIC CAPITAL LETTER YA
0460; L; 0461;	#CYRILLIC CAPITAL LETTER OMEGA
0462; L; 0463;	#CYRILLIC CAPITAL LETTER YAT
0464; L; 0465;	#CYRILLIC CAPITAL LETTER IOTIFIED E
0466; L; 0467;	#CYRILLIC CAPITAL LETTER LITTLE YUS
0468; L; 0469;	#CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
046A; L; 046B;	#CYRILLIC CAPITAL LETTER BIG YUS
046C; L; 046D;	#CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
046E; L; 046F;	#CYRILLIC CAPITAL LETTER KSI
0470; L; 0471;	#CYRILLIC CAPITAL LETTER PSI
0472; L; 0473;	#CYRILLIC CAPITAL LETTER FITA
0474; L; 0475;	#CYRILLIC CAPITAL LETTER IZHITSA
0476; L; 0477;	#CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0478; L; 0479;	#CYRILLIC CAPITAL LETTER UK
047A; L; 047B;	#CYRILLIC CAPITAL LETTER ROUND OMEGA
047C; L; 047D;	#CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
047E; L; 047F;	#CYRILLIC CAPITAL LETTER OT
0480; L; 0481;	#CYRILLIC CAPITAL LETTER KOPPA
048C; L; 048D;	#CYRILLIC CAPITAL LETTER SEMISOFT SIGN
048E; L; 048F;	#CYRILLIC CAPITAL LETTER ER WITH TICK
0490; L; 0491;	#CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492; L; 0493;	#CYRILLIC CAPITAL LETTER GHE WITH STROKE
0494; L; 0495;	#CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0496; L; 0497;	#CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0498; L; 0499;	#CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
049A; L; 049B;	#CYRILLIC CAPITAL LETTER KA WITH DESCENDER
049C; L; 049D;	#CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
049E; L; 049F;	#CYRILLIC CAPITAL LETTER KA WITH STROKE
04A0; L; 04A1;	#CYRILLIC CAPITAL LETTER BASHKIR KA
04A2; L; 04A3;	#CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04A4; L; 04A5;	#CYRILLIC CAPITAL LIGATURE EN GHE
04A6; L; 04A7;	#CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
04A8; L; 04A9;	#CYRILLIC CAPITAL LETTER ABKHASIAN HA
04AA; L; 04AB;	#CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04AC; L; 04AD;	#CYRILLIC CAPITAL LETTER TE WITH DESCENDER
04AE; L; 04AF;	#CYRILLIC CAPITAL LETTER STRAIGHT U
04B0; L; 04B1;	#CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
04B2; L; 04B3;	#CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04B4; L; 04B5;	#CYRILLIC CAPITAL LIGATURE TE TSE
04B6; L; 04B7;	#CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
04B8; L; 04B9;	#CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
04BA; L; 04BB;	#CYRILLIC CAPITAL LETTER SHHA
04BC; L; 04BD;	#CYRILLIC CAPITAL LETTER ABKHASIAN CHE
04BE; L; 04BF;	#CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
04C1; L; 04C2;	#CYRILLIC CAPITAL LETTER ZHE WITH BREVE
04C3; L; 04C4;	#CYRILLIC CAPITAL LETTER KA WITH HOOK
04C7; L; 04C8;	#CYRILLIC CAPITAL LETTER EN WITH HOOK
04CB; L; 04CC;	#CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
04D0; L; 04D1;	#CYRILLIC CAPITAL LETTER A WITH BREVE
04D2; L; 04D3;	#CYRILLIC CAPITAL LETTER A WITH DIAERESIS
04D4; L; 04D5;	#CYRILLIC CAPITAL LIGATURE A IE
04D6; L; 04D7;	#CYRILLIC CAPITAL LETTER IE WITH BREVE
04D8; L; 04D9;	#CYRILLIC CAPITAL LETTER SCHWA
04DA; L; 04DB;	#CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
04DC; L; 04DD;	#CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
